                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8444,                 2.8869,                 1.2458,                0.84531,                0.44097,                0.62715,                0.36618,                 1.5096,                 1.5875,                 1.0561,             0.00047433,             0.00047433,             0.00047433
                      2,                 1.5878,                 1.4465,                 1.1451,                0.93268,                0.72088,                0.84069,                0.48099,                 1.3485,                 1.0168,                0.99847,             0.00094125,             0.00094125,             0.00094125
                      3,                 1.5276,                 1.0976,                 1.1332,                0.83934,                0.78561,                0.84313,                0.56195,                 1.3758,                0.92608,                 1.0018,              0.0013987,              0.0013987,              0.0013987
                      4,                 1.4865,                0.95764,                  1.117,                0.88952,                0.77105,                0.81154,                0.50798,                  1.289,                0.75678,                  1.005,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.4484,                0.89917,                 1.1002,                0.92339,                 0.8483,                0.90448,                0.50893,                 1.3798,                 0.7553,                0.99189,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.3669,                0.80898,                 1.0783,                0.92732,                0.84296,                0.91285,                0.57334,                 1.3016,                0.72171,                0.97616,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.3267,                0.77179,                 1.0598,                0.92289,                0.81656,                0.89968,                0.57468,                 1.3377,                  0.717,                0.97608,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.3216,                0.76068,                  1.053,                0.91144,                0.81407,                0.88251,                0.60296,                 1.2155,                0.64374,                0.95175,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.2949,                0.73339,                 1.0471,                0.92259,                0.87459,                0.91203,                0.62529,                 1.2409,                 0.6383,                0.96138,                0.00133,                0.00133,                0.00133
                     10,                 1.2891,                0.72729,                 1.0483,                0.93387,                0.87127,                0.91705,                0.62453,                 1.1897,                 0.6026,                0.94167,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.2633,                0.70601,                 1.0268,                0.95823,                0.89142,                0.91751,                 0.6102,                 1.2978,                0.64497,                0.96315,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.2102,                0.67951,                 1.0215,                0.93247,                0.89699,                0.92274,                0.66378,                 1.1675,                0.62219,                0.93163,              0.0012875,              0.0012875,              0.0012875
