                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2272,                    2.3,                 1.1784,                0.97637,                0.11449,                0.12145,                0.09028,                0.80475,                  1.846,                 1.0027,               0.003327,               0.003327,               0.003327
                      2,                 1.2107,                  1.529,                 1.1569,                0.97396,                 0.1004,                0.10876,                0.07234,                   1.14,                 1.8073,                 1.1893,              0.0065944,              0.0065944,              0.0065944
                      3,                 1.2957,                 1.4111,                  1.202,                0.94886,                0.17657,                0.24528,                0.17412,                0.97223,                 1.4283,                 1.1162,              0.0097958,              0.0097958,              0.0097958
                      4,                 1.3278,                 1.2441,                 1.2195,                0.22097,                0.31204,                0.28756,                0.18792,                0.94971,                 1.2101,                 1.1008,               0.009703,               0.009703,               0.009703
                      5,                 1.2908,                 1.1094,                 1.2086,                0.31038,                0.24076,                0.34197,                0.22773,                0.95726,                0.96867,                 1.1289,               0.009703,               0.009703,               0.009703
                      6,                 1.2612,                 1.0341,                 1.1891,                0.38991,                0.25714,                 0.2901,                0.21085,                0.88497,                0.89669,                 1.0674,               0.009604,               0.009604,               0.009604
                      7,                 1.2381,                0.97721,                 1.1754,                0.49346,                0.23255,                0.28968,                0.21844,                 0.8686,                0.86933,                 1.0659,               0.009505,               0.009505,               0.009505
                      8,                 1.2183,                0.92714,                 1.1649,                0.49697,                0.31228,                0.34109,                0.21891,                0.84859,                0.79144,                 1.0509,               0.009406,               0.009406,               0.009406
                      9,                 1.1947,                0.89516,                 1.1549,                0.48598,                 0.3213,                 0.3692,                0.24002,                0.84019,                0.72635,                  1.041,               0.009307,               0.009307,               0.009307
                     10,                  1.168,                0.86763,                 1.1385,                 0.5622,                 0.3978,                0.33483,                0.25443,                0.77594,                0.65299,                 1.0006,               0.009208,               0.009208,               0.009208
                     11,                 1.1546,                0.83238,                 1.1358,                0.62499,                0.24993,                0.31432,                0.17926,                0.75797,                0.67329,                 1.0011,               0.009109,               0.009109,               0.009109
                     12,                 1.1433,                0.83141,                 1.1323,                0.55389,                0.40725,                 0.3557,                  0.239,                0.81732,                0.66123,                 1.0261,                0.00901,                0.00901,                0.00901
                     13,                 1.1422,                0.81432,                 1.1238,                0.66316,                0.43347,                0.39964,                0.25946,                0.79003,                0.65814,                 1.0143,               0.008911,               0.008911,               0.008911
                     14,                 1.1238,                0.79433,                 1.1205,                0.51258,                0.36646,                0.34941,                0.19445,                0.76638,                0.60565,                0.99519,               0.008812,               0.008812,               0.008812
                     15,                 1.1131,                0.77077,                 1.1144,                0.50685,                0.41791,                0.38417,                0.19942,                0.74449,                0.61451,                0.98163,               0.008713,               0.008713,               0.008713
                     16,                 1.1131,                0.77208,                  1.109,                0.52347,                0.43277,                0.40249,                0.27305,                0.76394,                  0.653,                 1.0001,               0.008614,               0.008614,               0.008614
                     17,                 1.1132,                0.76616,                  1.107,                0.73521,                0.41705,                0.43135,                0.27551,                0.75867,                 0.6012,                 0.9799,               0.008515,               0.008515,               0.008515
                     18,                 1.1033,                0.75791,                 1.1042,                0.56826,                0.46313,                0.39174,                0.27357,                0.76177,                0.62442,                0.99986,               0.008416,               0.008416,               0.008416
                     19,                 1.0931,                0.74564,                 1.1033,                0.56159,                0.44224,                0.37024,                0.26094,                0.75579,                0.58376,                 0.9931,               0.008317,               0.008317,               0.008317
                     20,                 1.0791,                 0.7265,                 1.0893,                0.39522,                0.46896,                0.36237,                 0.2592,                0.70821,                0.55936,                0.96021,               0.008218,               0.008218,               0.008218
