                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1101,                 3.1132,                 1.5221,                0.30361,                0.42857,                0.28755,                0.19162,                 1.8658,                 2.2859,                  1.814,                0.00014,                0.00014,                0.00014
                      2,                 1.6706,                 2.3718,                 1.2962,                0.47977,                0.57143,                0.33782,                0.19566,                 1.9416,                 2.2825,                 1.8232,             0.00029703,             0.00029703,             0.00029703
                      3,                   1.37,                 1.2128,                 1.1837,                0.64177,                0.57143,                0.56201,                0.19801,                 2.1966,                 1.6255,                 2.1035,             0.00045089,             0.00045089,             0.00045089
                      4,                 1.4366,                 1.0667,                 1.2677,                 0.6211,                0.70389,                0.61694,                0.24592,                 1.9583,                 1.3173,                 1.6276,             0.00060159,             0.00060159,             0.00060159
                      5,                 1.0992,                 1.3026,                0.99401,                0.55505,                0.71299,                0.61433,                0.31435,                 1.8966,                  1.475,                 1.7124,             0.00074911,             0.00074911,             0.00074911
                      6,                 1.1733,                0.91436,                 1.0847,                0.45244,                0.70877,                0.49272,                 0.2762,                 1.7753,                 1.2844,                 1.8047,             0.00089347,             0.00089347,             0.00089347
                      7,                 1.0018,                 1.9033,                0.87989,                0.39693,                0.57143,                 0.4032,                0.25325,                  1.777,                 1.4946,                 1.7741,              0.0010347,              0.0010347,              0.0010347
                      8,                 1.2033,                0.84044,                 1.0871,                0.39592,                0.57143,                0.32458,                0.17222,                 1.9226,                 1.6114,                 2.1425,              0.0011727,              0.0011727,              0.0011727
                      9,                0.96928,                0.83733,                0.88487,                0.56646,                0.56149,                0.34327,                0.20669,                 1.9121,                 1.4556,                 1.9101,              0.0013075,              0.0013075,              0.0013075
                     10,                0.89453,                0.76934,                0.85899,                 0.5525,                0.57143,                0.36825,                0.23672,                 1.8707,                 1.2037,                 1.9366,              0.0014392,              0.0014392,              0.0014392
                     11,                 1.0257,                0.79669,                0.97599,                0.56756,                0.57143,                 0.4231,                0.28971,                  1.741,                 1.3058,                 1.8734,              0.0015677,              0.0015677,              0.0015677
                     12,                 1.0518,                0.73597,                 1.0397,                0.64714,                0.57143,                0.58102,                0.38815,                 1.7397,                 1.6079,                 1.9494,              0.0016931,              0.0016931,              0.0016931
                     13,                 0.9645,                0.60507,                0.96144,                0.78287,                0.57143,                0.58066,                0.34741,                 1.8083,                 1.3791,                 1.8649,              0.0017624,              0.0017624,              0.0017624
                     14,                0.97615,                0.59619,                0.93537,                0.91603,                0.57143,                0.61948,                0.37109,                 1.9945,                 1.4404,                 2.0472,              0.0017624,              0.0017624,              0.0017624
                     15,                0.95799,                 0.7252,                0.99703,                0.66502,                0.57143,                0.66711,                0.37609,                  2.126,                 1.2306,                 2.0158,              0.0017426,              0.0017426,              0.0017426
                     16,                0.99027,                0.78002,                  1.044,                0.71056,                0.70309,                0.68467,                0.39831,                  2.128,                 1.2357,                 2.0042,              0.0017228,              0.0017228,              0.0017228
                     17,                0.88705,                0.64902,                0.95884,                0.71347,                0.71185,                0.67964,                0.36576,                 1.8594,                 1.0398,                 1.8445,               0.001703,               0.001703,               0.001703
                     18,                 1.0929,                 1.5485,                 1.1462,                0.94445,                0.57143,                0.67974,                0.34643,                 1.8561,                 1.1309,                 1.9242,              0.0016832,              0.0016832,              0.0016832
                     19,                0.86875,                0.70282,                0.85198,                 0.7102,                0.70204,                0.60201,                    0.3,                 1.9624,                 1.4936,                 2.1104,              0.0016634,              0.0016634,              0.0016634
                     20,                0.78272,                0.56159,                0.86138,                0.65924,                0.57143,                0.47988,                 0.2924,                 1.8297,                 1.3167,                 1.8395,              0.0016436,              0.0016436,              0.0016436
                     21,                0.93386,                0.69016,                 1.0053,                0.65918,                0.57143,                0.53326,                 0.3029,                 1.9258,                 1.3754,                 1.8603,              0.0016238,              0.0016238,              0.0016238
                     22,                0.78932,                0.54762,                0.83715,                0.71197,                0.70735,                0.68281,                0.38954,                 1.8326,                 1.4008,                 1.8084,               0.001604,               0.001604,               0.001604
                     23,                0.82878,                0.79253,                0.95714,                 0.8055,                0.71429,                0.69923,                0.37271,                 1.7261,                 1.0199,                 1.8369,              0.0015842,              0.0015842,              0.0015842
                     24,                0.78281,                0.64031,                0.85159,                0.96917,                0.57143,                0.68248,                0.38128,                 1.9535,                 1.2235,                 1.9338,              0.0015644,              0.0015644,              0.0015644
                     25,                0.81642,                0.57843,                 0.9572,                 0.7127,                0.70953,                0.68087,                0.39515,                 2.0333,                 1.3781,                 1.9411,              0.0015446,              0.0015446,              0.0015446
                     26,                0.80338,                0.53022,                0.88609,                0.71272,                0.70958,                0.67886,                0.39689,                 2.0625,                 1.3274,                 1.9719,              0.0015248,              0.0015248,              0.0015248
                     27,                0.88735,                0.64436,                0.94963,                0.71176,                0.70671,                0.67915,                0.35365,                 2.1743,                 1.3926,                 2.1306,               0.001505,               0.001505,               0.001505
                     28,                0.83237,                0.52082,                 0.9368,                0.71053,                0.70302,                0.64983,                0.31123,                 2.2146,                 1.4464,                 2.2331,              0.0014852,              0.0014852,              0.0014852
                     29,                0.73634,                 0.5376,                0.87157,                0.96777,                0.57143,                0.65942,                0.34463,                  2.046,                 1.1829,                  2.133,              0.0014654,              0.0014654,              0.0014654
                     30,                0.76246,                 0.6138,                0.88848,                0.96385,                0.57143,                0.65264,                0.34395,                  1.979,                 1.2874,                 2.0034,              0.0014456,              0.0014456,              0.0014456
                     31,                 0.8664,                0.53856,                0.94048,                0.65941,                0.57143,                0.59526,                0.32158,                 2.0281,                 1.3973,                 2.1765,              0.0014258,              0.0014258,              0.0014258
                     32,                0.73692,                0.51868,                 0.9104,                0.64493,                0.57143,                0.46655,                0.26714,                  2.029,                 1.3718,                 2.1824,               0.001406,               0.001406,               0.001406
                     33,                0.77338,                0.57885,                0.95284,                0.65643,                0.57143,                0.52958,                0.31606,                 2.0597,                 1.3619,                 2.2013,              0.0013862,              0.0013862,              0.0013862
                     34,                0.74267,                0.47531,                 0.9135,                0.66194,                0.57143,                0.55953,                0.35677,                 2.1665,                 1.4247,                 2.2099,              0.0013664,              0.0013664,              0.0013664
                     35,                 0.9238,                0.61196,                0.97947,                0.68409,                0.57143,                0.59373,                0.32755,                 2.3668,                 1.3873,                 2.3524,              0.0013466,              0.0013466,              0.0013466
                     36,                0.72799,                0.53456,                0.90888,                0.83558,                0.57143,                0.58671,                 0.3414,                 2.2167,                 1.2589,                 2.1302,              0.0013268,              0.0013268,              0.0013268
                     37,                0.82493,                0.49128,                0.98024,                0.92415,                0.57143,                0.58797,                0.37183,                 2.0456,                 1.0887,                 2.0102,               0.001307,               0.001307,               0.001307
                     38,                0.72589,                0.49438,                0.94642,                0.95237,                0.57143,                0.65792,                0.37292,                 1.9154,                      1,                 2.0519,              0.0012872,              0.0012872,              0.0012872
                     39,                0.64165,                0.51983,                0.78543,                0.95845,                0.57143,                0.69079,                0.39069,                 1.7996,                0.93443,                 1.9641,              0.0012674,              0.0012674,              0.0012674
                     40,                0.73204,                0.45563,                0.88886,                0.96212,                0.57143,                0.69653,                0.41154,                  1.861,                 1.0139,                 1.9604,              0.0012476,              0.0012476,              0.0012476
                     41,                0.76109,                 0.4954,                0.91596,                0.95966,                0.57143,                0.62592,                0.39946,                 1.8442,                  1.061,                 1.8808,              0.0012278,              0.0012278,              0.0012278
                     42,                0.59557,                0.43317,                0.76144,                0.71381,                0.71285,                0.71148,                0.41849,                 1.8731,                 1.1109,                 1.8964,               0.001208,               0.001208,               0.001208
                     43,                0.79718,                0.62334,                0.95497,                0.94139,                0.57143,                0.69115,                0.38609,                 2.0482,                 1.3207,                 1.8998,              0.0011882,              0.0011882,              0.0011882
                     44,                0.96365,                0.97066,                0.94678,                0.94955,                0.57143,                 0.6959,                0.37071,                 2.1794,                 1.5379,                 1.9443,              0.0011684,              0.0011684,              0.0011684
                     45,                0.59189,                0.38879,                0.76971,                0.94343,                0.57143,                0.60219,                0.39308,                 2.1554,                   1.55,                 1.9544,              0.0011486,              0.0011486,              0.0011486
                     46,                0.67437,                 0.4531,                 0.8961,                 0.9369,                0.57143,                0.60742,                0.41173,                 2.1019,                  1.615,                 1.9685,              0.0011288,              0.0011288,              0.0011288
                     47,                0.62395,                0.47136,                0.88965,                0.93464,                0.57143,                0.59908,                0.41358,                 2.0509,                 1.6705,                 1.9529,               0.001109,               0.001109,               0.001109
                     48,                0.67268,                0.44941,                0.88656,                0.89579,                0.57143,                0.62517,                0.39398,                 1.9881,                 1.5733,                 1.9497,              0.0010892,              0.0010892,              0.0010892
                     49,                0.72595,                0.43211,                0.88874,                0.82821,                0.57143,                0.66338,                0.38312,                 2.0163,                 1.4627,                 1.9518,              0.0010694,              0.0010694,              0.0010694
                     50,                0.61918,                0.39727,                0.85999,                0.78343,                0.57143,                0.67295,                0.40382,                 2.0052,                 1.4321,                 1.9122,              0.0010496,              0.0010496,              0.0010496
                     51,                0.83969,                0.50796,                  1.011,                0.71374,                0.71266,                0.68646,                0.40719,                 2.0029,                 1.4733,                 1.9855,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.6454,                0.42889,                0.90474,                0.71131,                0.71429,                0.65921,                0.39111,                 1.9115,                 1.5323,                 1.8731,                0.00101,                0.00101,                0.00101
                     53,                0.58884,                0.39527,                0.91382,                0.70907,                0.71429,                0.67372,                0.39693,                 1.8531,                 1.4519,                 1.8196,              0.0009902,              0.0009902,              0.0009902
                     54,                0.61202,                 0.4382,                0.80036,                0.65955,                0.57143,                0.57762,                0.39026,                 1.8139,                 1.4368,                 1.7744,              0.0009704,              0.0009704,              0.0009704
                     55,                0.63475,                0.45824,                0.90479,                0.65618,                0.57143,                0.55029,                0.37043,                 1.7976,                 1.3762,                 1.7731,              0.0009506,              0.0009506,              0.0009506
                     56,                0.56078,                0.46076,                0.75067,                 0.6311,                0.57143,                0.51107,                0.34735,                 1.8923,                 1.3827,                 1.8962,              0.0009308,              0.0009308,              0.0009308
                     57,                0.56672,                0.38521,                0.81488,                0.62042,                0.57143,                0.50756,                0.32277,                 1.9749,                 1.3315,                 2.0423,               0.000911,               0.000911,               0.000911
                     58,                 0.5521,                0.39518,                0.85118,                0.62671,                0.57143,                0.50277,                0.31922,                 1.9941,                 1.3279,                 2.0598,              0.0008912,              0.0008912,              0.0008912
                     59,                0.56064,                0.39954,                0.86025,                0.63744,                0.57143,                0.53905,                0.34116,                 1.9896,                 1.3894,                 2.0954,              0.0008714,              0.0008714,              0.0008714
                     60,                0.61672,                0.38627,                0.87286,                0.64119,                0.57143,                0.51218,                0.32619,                 2.0247,                 1.4381,                 2.1252,              0.0008516,              0.0008516,              0.0008516
                     61,                0.68017,                0.43533,                0.90214,                0.64857,                0.57143,                0.48134,                0.30119,                 2.0664,                 1.3946,                 2.1547,              0.0008318,              0.0008318,              0.0008318
                     62,                0.54491,                0.36027,                0.85561,                0.65809,                0.57143,                0.48406,                0.30321,                 2.0269,                 1.3616,                   2.09,               0.000812,               0.000812,               0.000812
                     63,                0.61288,                0.40603,                0.87213,                0.65493,                0.57143,                0.55308,                0.30338,                 1.9996,                 1.3347,                 2.0704,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.6002,                0.40514,                0.88284,                0.62065,                0.70269,                0.62671,                0.36991,                 1.9393,                 1.3139,                 2.0611,              0.0007724,              0.0007724,              0.0007724
                     65,                0.61797,                0.40568,                  0.862,                0.70817,                0.71429,                0.65388,                0.35468,                 1.9375,                 1.3312,                 2.0615,              0.0007526,              0.0007526,              0.0007526
                     66,                0.49094,                0.36178,                0.75319,                0.70747,                0.71429,                0.68232,                0.38454,                 1.9195,                 1.3318,                 2.0373,              0.0007328,              0.0007328,              0.0007328
                     67,                0.64533,                 0.4186,                0.85937,                0.70674,                0.71429,                0.68307,                0.39701,                 1.9633,                 1.3458,                 2.1022,               0.000713,               0.000713,               0.000713
                     68,                0.56527,                0.36644,                0.85953,                0.91927,                0.57143,                0.58503,                0.37579,                 1.9443,                 1.2531,                  2.098,              0.0006932,              0.0006932,              0.0006932
                     69,                0.58632,                0.36845,                0.86203,                0.93816,                0.57143,                0.58739,                0.37774,                 1.9174,                 1.2436,                 2.1371,              0.0006734,              0.0006734,              0.0006734
                     70,                0.53965,                0.35306,                0.85789,                0.93022,                0.57143,                0.65132,                0.37319,                 1.9442,                 1.3477,                 2.1679,              0.0006536,              0.0006536,              0.0006536
                     71,                0.49924,                0.31196,                0.75192,                0.70622,                0.71429,                0.68769,                0.38078,                 1.9359,                 1.4416,                 2.1235,              0.0006338,              0.0006338,              0.0006338
                     72,                0.56422,                0.34956,                0.82927,                0.70659,                0.71429,                 0.6895,                 0.3713,                  1.931,                  1.468,                 2.0574,               0.000614,               0.000614,               0.000614
                     73,                0.63016,                0.39159,                0.90477,                0.70763,                0.71429,                0.69045,                0.38284,                  1.919,                 1.5168,                 2.0361,              0.0005942,              0.0005942,              0.0005942
                     74,                0.51639,                0.35766,                0.85012,                0.77882,                0.57143,                0.67865,                0.39913,                 1.8444,                  1.461,                 1.9205,              0.0005744,              0.0005744,              0.0005744
                     75,                0.51011,                0.31091,                 0.8495,                0.77894,                0.57143,                0.68224,                0.40229,                 1.8397,                  1.472,                 1.9179,              0.0005546,              0.0005546,              0.0005546
                     76,                0.65275,                0.62511,                0.87828,                0.61874,                0.71429,                0.68542,                0.40509,                 1.8145,                  1.486,                 1.9134,              0.0005348,              0.0005348,              0.0005348
                     77,                0.54636,                0.35821,                0.84611,                0.74257,                0.57143,                0.67728,                0.41141,                 1.8101,                 1.4586,                 1.9231,               0.000515,               0.000515,               0.000515
                     78,                0.61166,                0.44848,                0.87961,                0.69284,                0.57143,                0.67498,                0.40925,                  1.863,                 1.4644,                  1.984,              0.0004952,              0.0004952,              0.0004952
                     79,                0.52875,                0.33222,                 0.8608,                0.70757,                0.71429,                 0.6972,                0.42336,                 1.8579,                 1.4334,                 1.9941,              0.0004754,              0.0004754,              0.0004754
                     80,                0.56709,                0.39126,                0.87181,                 0.7064,                0.71429,                0.69079,                0.41733,                 1.8482,                 1.4022,                  1.989,              0.0004556,              0.0004556,              0.0004556
                     81,                0.51845,                0.33437,                0.84582,                0.70741,                0.71429,                0.69192,                0.41839,                 1.8315,                 1.3653,                 1.9695,              0.0004358,              0.0004358,              0.0004358
                     82,                0.65155,                0.41625,                0.88403,                0.71363,                0.71232,                0.69474,                0.41141,                 1.8202,                 1.4051,                 1.9284,               0.000416,               0.000416,               0.000416
                     83,                0.52964,                0.35389,                0.84243,                0.74345,                0.57143,                0.66792,                0.41146,                 1.8413,                  1.363,                 1.9065,              0.0003962,              0.0003962,              0.0003962
                     84,                0.46479,                 0.3042,                0.74736,                 0.7251,                0.57143,                0.60134,                0.40419,                 1.8672,                 1.4178,                 1.9011,              0.0003764,              0.0003764,              0.0003764
                     85,                 0.5639,                0.34662,                0.88423,                0.74893,                0.57143,                0.60134,                0.38428,                 1.8869,                 1.4271,                 1.9049,              0.0003566,              0.0003566,              0.0003566
                     86,                0.59768,                0.36861,                0.88488,                0.74864,                0.57143,                0.59908,                0.36274,                 1.9217,                 1.4168,                 1.9031,              0.0003368,              0.0003368,              0.0003368
                     87,                0.64435,                 0.5427,                0.93286,                0.76305,                0.57143,                0.59661,                0.38055,                 1.9646,                 1.3914,                 1.9352,               0.000317,               0.000317,               0.000317
                     88,                0.61248,                0.42993,                0.92238,                0.75957,                0.57143,                0.59979,                0.37823,                 2.0118,                  1.334,                  2.014,              0.0002972,              0.0002972,              0.0002972
                     89,                  0.519,                0.34082,                0.84925,                0.75525,                0.57143,                0.59778,                0.36171,                 2.0162,                 1.2966,                 2.0624,              0.0002774,              0.0002774,              0.0002774
                     90,                0.51037,                0.35425,                0.86822,                 0.7569,                0.57143,                0.59778,                0.36654,                 1.9833,                 1.3002,                 2.0521,              0.0002576,              0.0002576,              0.0002576
                     91,                0.47322,                 0.3037,                0.83743,                0.62172,                0.71429,                0.68224,                0.37059,                 1.9912,                  1.283,                  2.129,              0.0002378,              0.0002378,              0.0002378
                     92,                0.53547,                0.31494,                0.85009,                0.71317,                0.71429,                 0.6937,                0.37089,                 1.9502,                 1.2825,                 2.1115,               0.000218,               0.000218,               0.000218
                     93,                0.38159,                0.27008,                0.73494,                0.71375,                0.71269,                0.69192,                0.37408,                 1.9322,                 1.2946,                 2.0697,              0.0001982,              0.0001982,              0.0001982
                     94,                0.45058,                0.26056,                0.83181,                0.71362,                0.71228,                0.69115,                0.38831,                 1.9542,                 1.3363,                 2.0689,              0.0001784,              0.0001784,              0.0001784
                     95,                0.39014,                0.78281,                0.72005,                0.71345,                0.71179,                0.69045,                0.39738,                 1.9714,                 1.3496,                 2.0649,              0.0001586,              0.0001586,              0.0001586
                     96,                0.40268,                0.26238,                0.82061,                0.71177,                0.71429,                0.68816,                0.39533,                 1.9964,                 1.3684,                 2.0687,              0.0001388,              0.0001388,              0.0001388
                     97,                0.42685,                0.29794,                0.82195,                0.71208,                0.71429,                0.68921,                0.39627,                 2.0232,                 1.3702,                 2.0767,               0.000119,               0.000119,               0.000119
                     98,                0.33603,                0.25609,                0.63196,                0.71166,                0.71429,                0.69115,                0.39221,                 2.0361,                 1.3663,                 2.0912,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.42962,                0.29412,                0.80479,                0.71321,                0.71429,                0.69276,                0.39356,                 2.0605,                 1.4071,                 2.1102,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.26935,                0.26866,                0.52726,                 0.7136,                0.71429,                 0.6937,                0.39435,                  2.054,                 1.3881,                 2.0953,               5.96e-05,               5.96e-05,               5.96e-05
