                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7818,                 4.8475,                 1.4247,                0.00333,                      1,                0.47273,                0.19361,                 1.8632,                 4.0427,                 1.5307,                0.00014,                0.00014,                0.00014
                      2,                 1.3147,                 3.9648,                 1.1047,                0.00333,                      1,                0.47568,                0.18986,                 1.7983,                 4.1462,                  1.588,             0.00029703,             0.00029703,             0.00029703
                      3,                 1.3172,                 2.7285,                 1.1126,                0.00333,                      1,                 0.0098,                0.00407,                  1.604,                  4.153,                  1.536,             0.00045089,             0.00045089,             0.00045089
                      4,                 1.2145,                 2.2391,                 1.1505,                0.00333,                      1,                0.05633,                0.03687,                 1.8354,                 3.9982,                 1.8316,             0.00060159,             0.00060159,             0.00060159
                      5,                 1.0852,                 4.9649,                0.97673,                0.00333,                      1,                0.01946,                0.01033,                 1.7848,                 4.0015,                 1.6909,             0.00074911,             0.00074911,             0.00074911
                      6,                 1.2351,                 2.3582,                 1.0853,                0.00333,                      1,                0.01415,                 0.0096,                 1.6555,                 4.0081,                 1.6146,             0.00089347,             0.00089347,             0.00089347
                      7,                 1.0628,                 4.4775,                0.94056,                0.00333,                      1,                0.02571,                0.01396,                 1.6025,                 4.0493,                 1.7269,              0.0010347,              0.0010347,              0.0010347
                      8,                 1.2652,                 2.4064,                 1.1542,                0.00238,                0.71429,                0.35967,                 0.2435,                 1.8213,                 3.9802,                 1.8311,              0.0011727,              0.0011727,              0.0011727
                      9,                 1.0892,                 5.0286,                0.97949,                 0.0019,                0.57143,                0.00309,                0.00206,                  2.596,                 5.0536,                 2.7154,              0.0013075,              0.0013075,              0.0013075
                     10,                 1.1081,                 3.8822,                0.95273,                0.48076,                0.13736,                0.07391,                0.03683,                 3.2026,                 4.9596,                 3.5995,              0.0014392,              0.0014392,              0.0014392
                     11,                 1.3803,                  2.936,                 1.1815,                0.00238,                0.71429,                0.06088,                0.03501,                 2.5038,                 4.6795,                 2.5597,              0.0015677,              0.0015677,              0.0015677
                     12,                 1.2331,                 2.1695,                 1.1475,                0.00286,                0.85714,                0.25156,                0.18086,                 2.4502,                  3.999,                 3.1359,              0.0016931,              0.0016931,              0.0016931
                     13,                 1.0797,                 2.4779,                 1.0737,                      1,                0.27965,                0.35089,                 0.1835,                 2.1969,                 3.6227,                 2.6612,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1731,                 1.8179,                 1.0959,                0.78277,                0.14286,                0.15395,                0.07475,                 2.4839,                 3.7696,                 3.0365,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.1496,                 2.0267,                 1.1053,                0.59158,                0.41655,                 0.3476,                0.22193,                 1.8346,                 2.9565,                 2.3877,              0.0017426,              0.0017426,              0.0017426
